valuation in MM,Name,Website,Description,Growth Score,Mindshare Score,Employee Count,Est. Monthly Uniques,Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Continent,Revenue Range,Business Models,Industries,Keywords
7637,Zemetrics,http://zemetrics.com,"Zemetrics was formed to provide advanced optical instruments, incorporating the latest technology to users needing precision surface",37,37,0,2,,2008,Exited (acquired),,,,,Tucson,Tucson,North America,$1M - $5M,,banking|payments,
24,Vortex Mobile,http://vortexmobile.ca,"Debt consolidation can ease your payment burden and get you back on your feet again. With our debt counselling experts on your side, you can consolidate debt and watch your credit card payments may drop by as much as ...",-3,-3,,2,,,Exited (acquired),,,,,Toronto,Toronto,North America,$10M - $25M,B2C|Consulting,banking|finance|payments,
66996,Euronet Worldwide,http://euronetworldwide.com,"uronet Worldwide, Inc. (Euronet) is an electronic payments provider. The Company offers payment and transaction processing and distribution",-81,-81,1193,129718,,1994,Exited (ipo),,,,,Kansas City,Leawood,North America,$1B - $5B,,banking|e-commerce|finance|payments,
24,China Smartpay Group Holdings Limited,http://chinasmartpay.com,,-42,-42,,92,,,Exited (ipo),,,,,,,,$25M - $50M,,banking|finance|payments,
1302,Moneyswap,http://moneyswap.com,"The company is regulated by Customs and Excise Department in Hong Kong. MoneySwap is also regulated under Financial Conduct Authority (FCA), United Kingdom and is registered as a Small Payment Institution (SPI) for merchant acquisition and issuing payment",0,0,18,39,,2009,Exited (ipo),,,,,London,London,Europe,$1M - $5M,,banking|finance|payments,
473,Fairfx Gp,http://fairfx.com,"The easy way to manage your travel money online! Join the UK's smartest travellers. Spend abroad with a FairFX Currency Card in Euro, US Dollar or Sterling.",-518,-518,83,293472,,,Exited (ipo),,,,,London,London,Europe,$5M - $10M,,banking|finance|mobile|payments|travel,
77,Eckoh,http://eckoh.com,"Award-winning, global provider of solutions for PCI DSS compliant payments and operational support for contact centers.",89,89,178,8067,,1997,Exited (ipo),,,,,Hemel Hempstead,Hemel Hempstead,Europe,$25M - $50M,B2B,data storage|enterprise software|information security|payments|physical security|security|storage,
0,Point and Pay,http://corp.pointandpay.com,,,-4,,53,,,Exited (acquired),,,,,Haines City,Haines City,North America,,B2B,e-commerce|payments,
10934,SeamlessWeb,http://seamlessweb.com,Seamless | Food Delivery from Restaurants Near You ~ Order Online,2,2,68,1213,,1999,Exited (acquired),,,,,New York,New York,North America,$1M - $5M,B2C|On-Demand,consumer services|e-commerce|food & beverages|hospitality|mobile|payments,blackberry|delivery|food & beverages|iphone|restaurants
116584,BCash,http://bcash.com.br,"BCash, formerly Pagamento Digital, is an online payments management platform.",-137,-137,84,1582531,,,Exited (acquired),,,,,Brazil,,South America,,,payments,
6094,WSFS Financial Corp.,http://wsfsbank.com,"WSFS Bank, the oldest, locally-managed bank headquartered in Delaware, offers banking and wealth management solutions for personal and business Customers.",128,128,947,149753,,1832,Exited (ipo),,,,,Philadelphia,Wilmington,North America,$250M - $500M,B2B,banking|finance|information security|payments|security,
35,CDI Technology E,http://cditechnology.com,"If you're looking for a solution that improves your business' efficiency, visit CDI for ERP accounting software with real-time SAP inventory management.",-86,-86,67,2606,,1991,Exited (acquired),,,,,Aurora,Aurora,North America,$25M - $50M,,finance|payments|telecommunications,
8953,mopay,http://mopay.com,Mobile Payments made easy. mopay lets you use your phone just like a credit card: simply provide your phone number to pay online. The charge will appear on your phone bill.,-132,-132,15,122062,,,Exited (acquired),,,,,Munich,Munich,Europe,,B2B|B2C,consumer services|e-commerce|mobile|payments,mobile commerce|mobile payments|payments
24,Middlefield Banc Corp.,http://middlefieldbank.com,"The Middlefield Banking Company is a community bank the does business with old fashion principles. They offer Geauga County, Portage County, Ashtabula County, Lake County, Trumbull County, Cuyahoga County, Summit County, Franklin County and Delaware County the latest technology and financial guidance needed to manage today's ever changing economy. The Middlefield Banking Company offers online banking and bill pay, automatic deposits and withdrawal, remote deposits for merchants, credit card capability for both consumer and business, mortgage and personal loans, and extended hours.",-32,-32,74,279,,,Exited (ipo),,,,,,,,$25M - $50M,,banking|finance|payments,
26,NB&T Financial Group Inc.,http://nbtdirect.com,NB&T Financial Group provides banking and financial services for individuals and corporate customers.,5,5,77,384,,1872,Exited (ipo),,,,,Wilmington,Wilmington,North America,$25M - $50M,,banking|finance|payments,
6254,Peoples Federal Bancshares Inc.,http://pfsb.com,"This website is for sale!  pfsb.com is your first and best source for all of the information you're looking for. From general topics to more of what you would expect to find here, pfsb.com has it all. We hope you find what you are searching for!",-3,-3,,423,,,Exited (ipo),,,,,,,,$10M - $25M,,automotive|banking|cleantech|education|finance|gaming|human resources hr|payments|solar power,
29,ColonialBankFSB,http://colonialbankfsb.com,Colonial Bank FSB began in 1913 as a mortgage association in downtown Bridgeton.,0,0,,7,,,Exited (acquired),,,,,Philadelphia,Vineland,North America,$10M - $25M,,banking|finance|payments,
6665,First Midwest Bancorp Inc.,http://firstmidwest.com,First Midwest Bancorp Inc.,-60,-60,1624,31177,,1940,Exited (ipo),,,,,Chicago,Itasca,North America,$250M - $500M,,banking|finance|payments,
32,Bear State Financial Inc.,http://ffbh.com,"Bear State Bank, BSB, Bear State, Arkansas Bank, northwest arkansas bank, checking account, savings account, mobile banking, online banking, loans, mortgage loans, home loans, arkansas home loans, harrison bank, thrive checking, thrive, estatements, atm, visa gift cards, credit cards, certificates of deposit, IRA's, safe deposit boxes, checking, savings, cd, auto, consumer loan, personal loan, business account, treasury management",23,23,171,375,,,Exited (ipo),,,,,Kansas City,Kansas City,North America,$25M - $50M,,banking|finance|payments,
9452,Spar Group Inc.,http://sparinc.com,Global Merchandising Services - The SPAR Group is the world's foremost retail service and merchandising firm. Get more out of the store.,34,34,0,2348,,1967,Exited (ipo),,,,,New York,White Plains,North America,$100M - $250M,,payments|retail,
7449,Middlesex Water Co.,http://middlesexwater.com,Middlesex Water Company is a water utility based in the U.S. state of New Jersey that was first incorporated in 1897.,50,50,92,781,,1897,Exited (ipo),,,,,New York,Iselin,North America,$100M - $250M,,energy|payments,
1818355,Old National Bancorp.,http://oldnational.com,"Old National Bank is dedicated to providing you with additional account choices, expanded convenience, and greater control in how you manage your money.",71,71,2143,301652,,,Exited (ipo),,,,,Evansville,Evansville,North America,$500M - $1B,,banking|finance|payments,
5749,Shenandoah Telecommunications Co.,http://shentel.com,"Weäó»re Shentel. We may be new to you, but weäó»ve been in business since 1902. Back then.",76,76,708,6373,,1902,Exited (ipo),,,,,Edinburg,Edinburg,North America,$250M - $500M,,payments,
5051,SpartanNash Company,http://spartanstores.com,"The most progressive wholesale grocery distributor and retailer in the Midwest, supporting independent grocers, and military commissaries and exchanges",5,5,2763,48805,,,Exited (ipo),,,,,Byron Center,Byron Center,North America,,B2C,food & beverages|payments,
17,Cordia Bancorp,http://cordiabancorp.com,Cordia was formed in 2009 to bring new leadership and financial strength to undervalued community banks.,7,7,,22,,,Exited (ipo),,,,,Midlothian,Midlothian,North America,,,banking|finance|payments,
1105,BlackHawk Network,http://blackhawknetwork.com,"Blackhawk Network develops new ways to give, receive and use branded value like gift cards, digital payments, loyalty points around the world.",97,97,1665,35553,,2001,Exited (ipo),,,,,Bay Area,Pleasanton,North America,$1B - $5B,B2B,e-commerce|finance|marketing|payments,android
999,Cardtronics,http://cardtronics.com,"Cardtronics, the world's largest non-bank ATM operator, is a leading provider of fully integrated ATM and financial kiosk products and services.",-262,-262,967,9216,,1993,Exited (ipo),,,,,Houston,Houston,North America,$1B - $5B,B2B,banking|finance|payments,
57,JGWPT Holdings Inc.,http://jgwpt.com,JGWPT Holdings Inc. (JGWPT) is headquartered in suburban Philadelphia.,1,1,31,2,,,Exited (ipo),,,,,Radnor,Radnor,North America,,,banking|finance|payments,
3025,Just Eat,http://justeat.in,Home delivery and take away from 15k+ restaurants across India  Discount voucher code  Order food online or via mobile free app now!,6,6,48,543615,,2006,Exited (acquired),,,,,Sarjapur Outer Ring Road,Sarjapur Outer Ring Road,Asia,$25M - $50M,B2C|On-Demand,consumer services|food & beverages|payments,
304,1Form.com,http://1form.com,1form's online rental application form allows you to apply for your rental home quickly and efficiently. Create your free account today!,328,328,,107624,,2006,Exited (acquired),,,,,Aust-Agder,Aust-Agder,Oceania,$5M - $10M,B2B,data storage|information security|payments|real estate|security|software development|storage,
1156,Wild Apricot,http://wildapricot.com,"Powerful, easy-to-use membership software with friendly and knowledgeable support. Get your instant free trial account now!",181,181,70,375181,,2001,Exited (acquired),,,,,Toronto,Toronto,North America,$5M - $10M,B2B|B2C|SaaS,cloud computing|human resources hr|payments|social networking,charity / non-profit|cms|professional networking
16,MPayMe,http://mpayme.com,uB[?][?]lRecSEO{voOVRecSEOQbgCong I,-1,-1,15,11,,2012,Exited (acquired),,,,,Wan Chai,Wan Chai,Asia,$25M - $50M,Advertising|B2B,advertising|finance|information security|mobile|payments|security,loyalty / rewards|mobile apps|mobile payments|payments
481,Paysbuy,http://paysbuy.com,Online Payments,-690,-690,56,351045,,2004,Exited (acquired),,,,,Pathumwan,Pathumwan,Asia,$5M - $10M,B2C,payments,
983,NUMBERCOP,http://numbercop.com,Get cutting-edge SMiShing and Vishing security news and catch up with the latest trends in phone fraud and text messaging attacks. http://numbercop.com,-1,-1,0,48,,2009,Exited (acquired),,,,,Bay Area,San Francisco,North America,$1M - $5M,B2C,data storage|email|finance|information security|mobile|payments|security|storage,android|antivirus|iphone
19,Athena Smartcard,http://athena-scs.com,The most advanced smart card technology directly from Athena or through our licensed silicon partners.,3,3,15,554,,,Exited (acquired),,,,,London,London,Europe,$5M - $10M,Consulting,data storage|hardware|hardware peripherals|information security|payments|physical security|security|storage,
712,Global Cash Card,http://globalcashcard.com,Global Cash Card is the Proven Leader in Customized Paycard Solutions.,59,59,172,323821,,1995,Exited (acquired),,,,,Los Angeles,Irvine,North America,$50M - $100M,B2C,banking|finance|payments,
82716,Columbus,http://columbusdata.net,,42,42,40,13891,,,Exited (acquired),,,,,Dallas,Dallas,North America,$1M - $5M,,finance|fitness and wellness|healthcare|payments|pharmaceuticals|physical security|security,
1053,JPay,http://jpay.com,"JPay offers convenient & affordable correctional services, including money transfer, email, videos, tablets, music, education & parole and probation payments.",-6,-6,156,597660,,2002,Exited (acquired),,,,,Miami,Miami,North America,$5M - $10M,,finance|information security|mobile|payments|security,
25,Online Banking Solutions,http://onlinebankingsolutions.com,Offer comprehensive lockbox payment processing and receivables management to customers with Remittance Solutions from Fiserv.,-15,-15,28,,,2002,Exited (acquired),,,,,Atlanta,Atlanta,North America,$5M - $10M,B2B,banking|finance|payments|physical security|security,
277,FIME,http://fime.com,"Our mission is to accompany you through your project implementation and certification, providing interoperable solutions across payments, telecoms, transport, identity and beyond.",-266,-266,507,,,1962,Exited (acquired),,,,,Antony,Antony,Europe,,B2B,payments|physical security|security,
2,Uni-Pay,http://uni-pay.net,"Flywire is a leading provider of international payment solutions, connecting businesses and consumers on six continents.",0,0,1,566,,,Exited (acquired),,,,,Warrington,Warrington,Europe,Less than $500K,B2B,banking|education|payments,
891,Payment Revolution LLC,http://paymentrevolution.com,Payment Revolution provides merchants with the ability to safely accept payment through a variety of different mediums.,-4,-4,11,351,,2008,Exited (acquired),,,,,New York,New York,North America,$5M - $10M,,banking|finance|payments,
